system,year,mlbam_id,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
Steamer Razzball,2013,545361.0,154.0,608.0,115.0,181.0,31.0,8.0,26.0,83.0,34.0,13.0,70.0,134.0,4.0,7.0,7.0,4.0,
Steamer Razzball,2013,458015.0,154.0,540.0,102.0,161.0,38.0,1.0,27.0,95.0,5.0,3.0,110.0,123.0,17.0,6.0,1.0,5.0,
Steamer Razzball,2013,462101.0,154.0,611.0,88.0,170.0,30.0,6.0,6.0,62.0,18.0,9.0,63.0,82.0,0.0,6.0,4.0,5.0,
Steamer Razzball,2013,456030.0,154.0,594.0,91.0,172.0,40.0,3.0,17.0,84.0,15.0,7.0,67.0,72.0,4.0,5.0,2.0,5.0,
Steamer Razzball,2013,457706.0,154.0,616.0,99.0,171.0,31.0,9.0,13.0,65.0,13.0,6.0,65.0,160.0,2.0,4.0,7.0,4.0,
Steamer Razzball,2013,445988.0,154.0,611.0,92.0,180.0,41.0,6.0,12.0,70.0,8.0,5.0,52.0,69.0,2.0,3.0,4.0,5.0,
Steamer Razzball,2013,408234.0,154.0,571.0,105.0,183.0,41.0,1.0,34.0,115.0,3.0,2.0,81.0,92.0,19.0,4.0,1.0,5.0,
Steamer Razzball,2013,407812.0,154.0,595.0,96.0,173.0,40.0,2.0,25.0,97.0,3.0,2.0,75.0,124.0,6.0,8.0,1.0,5.0,
Steamer Razzball,2013,518792.0,154.0,612.0,109.0,164.0,34.0,5.0,28.0,92.0,14.0,8.0,81.0,140.0,4.0,6.0,4.0,5.0,
Steamer Razzball,2013,457705.0,154.0,564.0,92.0,165.0,35.0,5.0,24.0,91.0,14.0,7.0,76.0,117.0,6.0,6.0,1.0,5.0,
Steamer Razzball,2013,460075.0,154.0,597.0,100.0,180.0,37.0,3.0,33.0,106.0,19.0,8.0,63.0,116.0,7.0,7.0,1.0,5.0,
Steamer Razzball,2013,514888.0,154.0,625.0,86.0,179.0,36.0,5.0,10.0,60.0,21.0,12.0,40.0,76.0,1.0,5.0,6.0,4.0,
Steamer Razzball,2013,450314.0,154.0,560.0,86.0,147.0,34.0,5.0,19.0,81.0,11.0,5.0,88.0,109.0,4.0,3.0,2.0,5.0,
Steamer Razzball,2013,408314.0,138.0,544.0,89.0,160.0,32.0,10.0,10.0,57.0,25.0,9.0,50.0,50.0,7.0,2.0,6.0,4.0,
Steamer Razzball,2013,425902.0,154.0,537.0,98.0,157.0,31.0,1.0,31.0,105.0,1.0,1.0,93.0,92.0,20.0,12.0,1.0,4.0,
Steamer Razzball,2013,460086.0,154.0,574.0,82.0,158.0,38.0,4.0,17.0,82.0,7.0,4.0,70.0,129.0,3.0,6.0,1.0,5.0,
