nameLast,nameFirst,playerID,Age,year,reliability,mPA,mAB,mR,mH,m2B,m3B,mHR,mRBI,mSB,mCS,mBB,mSO,mIBB,mHBP,mSH,mSF,mGIDP
Bonds,Barry,bondsba01,42,2006,0.78,288,210,50,64,12,1,18,42,3,1,72,30,31,4,0,2,4
Pujols,Albert,pujolal01,26,2006,0.87,619,531,113,178,40,2,35,103,9,3,75,58,14,8,0,5,16
Helton,Todd,heltoto01,33,2006,0.87,581,481,91,156,39,2,22,78,3,1,90,70,15,5,1,4,13
Berkman,Lance,berkmla01,30,2006,0.86,551,456,79,134,31,3,21,77,6,3,85,80,10,6,1,3,12
Drew,J.D.,drewjd01,31,2006,0.81,420,353,67,101,18,3,18,53,5,2,60,69,2,4,1,2,6
Guerrero,Vladimir,guerrvl01,30,2006,0.86,565,500,89,158,29,2,28,95,12,3,53,60,17,7,0,5,17
Hafner,Travis,hafnetr01,29,2006,0.84,546,470,81,137,36,2,25,90,3,1,60,110,5,11,1,4,10
Ortiz,David,ortizda01,31,2006,0.87,623,542,92,157,39,2,35,118,2,0,73,111,7,2,0,6,12
Ramirez,Manny,ramirma02,34,2006,0.87,591,509,93,150,31,1,33,106,2,2,70,102,12,7,0,5,17
Rodriguez,Alex,rodrial01,31,2006,0.88,627,541,100,160,25,2,35,99,18,4,71,115,6,11,0,4,12
Bay,Jason,bayja01,28,2006,0.83,601,519,85,152,35,5,26,87,13,3,68,129,5,7,2,5,11
Cabrera,Miguel,cabremi01,23,2006,0.86,611,544,89,169,35,2,27,100,3,1,57,116,7,4,1,5,17
Delgado,Carlos,delgaca01,34,2006,0.86,563,476,76,134,31,2,28,98,1,1,67,110,14,13,0,7,12
Edmonds,Jim,edmonji01,36,2006,0.85,545,459,82,124,33,2,30,84,5,4,77,128,8,4,1,4,7
Lee,Derrek,leede02,31,2006,0.87,614,534,89,157,37,2,31,86,13,4,68,108,10,6,1,5,11
Teixeira,Mark,teixema01,26,2006,0.87,628,556,91,160,34,3,33,108,4,1,59,110,6,10,0,3,13
Wright,David,wrighda03,24,2006,0.79,557,494,82,151,34,2,23,82,13,4,52,88,2,6,1,4,13
Abreu,Bobby,abreubo01,32,2006,0.88,631,526,91,150,35,1,21,87,26,6,95,111,10,4,0,6,8
Aybar,Willy,aybarwi01,23,2006,0.3,252,218,31,65,15,1,6,29,5,2,29,35,1,3,1,1,4
Dunn,Adam,dunnad01,27,2006,0.86,604,503,91,127,29,1,34,85,6,2,91,149,10,8,0,2,7
Giambi,Jason,giambja01,35,2006,0.84,505,407,63,101,16,0,24,71,2,1,81,99,4,14,0,3,8
Jacobs,Mike,jacobmi02,26,2006,0.32,256,229,36,66,14,1,13,38,3,1,22,43,1,2,1,2,7
Mora,Melvin,morame01,34,2006,0.86,596,524,85,156,30,1,22,79,8,4,53,97,1,10,6,3,9
Rolen,Scott,rolensc01,31,2006,0.82,371,321,55,90,22,2,15,59,4,2,41,56,2,5,1,3,7
Sexson,Richie,sexsori01,32,2006,0.83,538,462,76,121,26,1,30,91,2,2,67,120,4,5,1,3,13
Sheffield,Gary,sheffga01,38,2006,0.87,606,524,94,150,27,1,28,102,9,3,69,71,5,7,0,6,13
Thomas,Frank,thomafr04,38,2006,0.76,293,247,40,62,14,0,16,43,1,1,40,55,2,4,0,2,5
Ensberg,Morgan,ensbemo01,31,2006,0.84,558,488,72,135,25,3,24,80,7,5,59,86,4,5,2,4,14
Francoeur,Jeff,francje02,22,2006,0.53,337,309,48,92,22,1,14,50,4,2,21,61,3,4,1,2,6
Giles,Brian,gilesbr02,35,2006,0.87,608,512,81,145,31,6,16,76,9,4,86,67,7,4,0,6,12
Giles,Marcus,gilesma01,28,2006,0.85,570,502,85,150,37,3,14,60,15,3,51,87,1,7,5,5,10
Glaus,Troy,glaustr01,30,2006,0.81,541,467,73,120,25,2,28,78,6,3,65,113,3,5,1,3,9
Gomes,Jonny,gomesjo01,26,2006,0.64,405,353,56,97,16,4,17,51,8,4,37,95,2,10,1,4,7
Griffey,Ken,griffke02,37,2006,0.8,512,450,72,122,27,1,27,76,2,1,52,92,4,4,1,5,10
Hermida,Jeremy,hermije01,22,2006,0.16,224,199,31,57,11,1,9,32,4,1,21,38,2,2,1,1,5
Holliday,Matt,hollima01,26,2006,0.79,507,459,68,137,28,5,17,73,9,3,37,82,1,7,1,3,11
Howard,Ryan,howarry01,27,2006,0.61,378,338,52,96,20,2,19,58,2,1,34,89,6,3,1,2,8
Johnson,Nick,johnsni01,28,2006,0.81,503,423,63,118,28,2,14,62,6,5,68,81,5,9,1,2,12
Jones,Chipper,jonesch06,34,2006,0.84,473,403,64,110,24,1,20,72,3,1,64,69,6,2,0,4,10
Murton,Matt,murtoma01,25,2006,0.4,280,247,35,74,11,2,10,30,4,2,26,41,4,2,2,3,6
Nixon,Trot,nixontr01,32,2006,0.79,452,397,62,112,24,3,16,64,3,1,47,69,3,3,1,4,7
Peralta,Jhonny,peraljh01,24,2006,0.76,488,433,64,123,27,3,17,60,2,3,46,100,2,4,2,3,10
Ramirez,Aramis,ramirar01,28,2006,0.85,514,467,70,138,28,1,25,83,1,2,37,64,4,5,0,5,17
Thome,Jim,thomeji01,36,2006,0.83,383,322,53,81,16,1,20,58,1,1,56,89,8,2,0,3,6
Tracy,Chad,tracych01,26,2006,0.8,530,479,61,143,31,3,17,62,4,2,40,70,3,5,1,5,10
Utley,Chase,utleych01,28,2006,0.8,543,480,72,134,30,4,21,87,11,2,49,87,3,8,1,5,10
Walker,Larry,walkela01,40,2006,0.8,415,353,62,96,20,3,15,54,5,2,52,71,5,8,0,2,9
Young,Michael,youngmi02,30,2006,0.88,640,591,94,184,31,6,18,76,8,2,42,84,1,2,1,4,14
Zimmerman,Ryan,zimmery01,22,2006,0.21,231,208,28,64,17,1,5,27,3,1,18,37,1,2,1,2,4
Alou,Moises,aloumo01,40,2006,0.85,512,456,68,129,25,2,20,68,4,1,49,59,2,3,0,4,12
