system,year,mlbam_id,W,L,G,GS,SV,IP,H,ER,HR,BB,SO,HBP,R,SH,SF,QS,HLD,CG,SHO,IBB,WP,BK
Steamer Razzball,2013,518886.0,5.0,1.0,65.0,0.0,30.0,64.0,37.0,13.0,4.0,26.0,102.0,2.0,15.0,,,,,,,,,
Steamer Razzball,2013,547973.0,5.0,2.0,65.0,0.0,30.0,68.0,42.0,18.0,5.0,33.0,104.0,3.0,20.0,,,,,,,,,
Steamer Razzball,2013,445276.0,5.0,2.0,65.0,0.0,10.0,65.0,44.0,17.0,6.0,28.0,91.0,2.0,18.0,,,,,,,,,
Steamer Razzball,2013,605169.0,4.0,2.0,41.0,0.0,0.0,56.0,43.0,18.0,5.0,25.0,70.0,2.0,20.0,,,,,,,,,
Steamer Razzball,2013,455374.0,4.0,2.0,65.0,0.0,0.0,52.0,40.0,17.0,6.0,23.0,65.0,2.0,18.0,,,,,,,,,
Steamer Razzball,2013,448281.0,5.0,2.0,65.0,0.0,0.0,69.0,54.0,21.0,7.0,26.0,84.0,2.0,23.0,,,,,,,,,
Steamer Razzball,2013,544931.0,14.0,6.0,28.0,28.0,0.0,177.0,139.0,56.0,14.0,52.0,210.0,5.0,62.0,,,,,,,,,
Steamer Razzball,2013,459429.0,4.0,2.0,65.0,0.0,0.0,52.0,41.0,16.0,5.0,18.0,62.0,2.0,18.0,,,,,,,,,
Steamer Razzball,2013,457117.0,4.0,2.0,65.0,0.0,10.0,64.0,49.0,22.0,8.0,30.0,78.0,4.0,24.0,,,,,,,,,
Steamer Razzball,2013,571521.0,4.0,2.0,65.0,0.0,0.0,58.0,46.0,22.0,5.0,31.0,71.0,2.0,24.0,,,,,,,,,
Steamer Razzball,2013,449097.0,5.0,2.0,65.0,0.0,30.0,65.0,52.0,19.0,6.0,19.0,76.0,3.0,21.0,,,,,,,,,
Steamer Razzball,2013,456696.0,4.0,2.0,65.0,0.0,0.0,61.0,49.0,19.0,7.0,24.0,73.0,2.0,21.0,,,,,,,,,
Steamer Razzball,2013,276351.0,4.0,2.0,65.0,0.0,20.0,59.0,46.0,18.0,5.0,23.0,70.0,2.0,20.0,,,,,,,,,
Steamer Razzball,2013,502085.0,4.0,2.0,65.0,0.0,0.0,60.0,48.0,20.0,5.0,24.0,70.0,2.0,22.0,,,,,,,,,
Steamer Razzball,2013,518813.0,4.0,2.0,65.0,0.0,30.0,65.0,52.0,22.0,5.0,30.0,76.0,1.0,24.0,,,,,,,,,
Steamer Razzball,2013,446099.0,4.0,2.0,65.0,0.0,30.0,60.0,48.0,21.0,5.0,27.0,70.0,2.0,23.0,,,,,,,,,
Steamer Razzball,2013,456379.0,4.0,2.0,65.0,0.0,10.0,62.0,48.0,22.0,5.0,30.0,73.0,2.0,24.0,,,,,,,,,
Steamer Razzball,2013,477229.0,2.0,1.0,41.0,0.0,0.0,35.0,27.0,12.0,3.0,15.0,41.0,1.0,13.0,,,,,,,,,
Steamer Razzball,2013,461791.0,4.0,2.0,65.0,0.0,20.0,59.0,45.0,23.0,6.0,35.0,71.0,3.0,25.0,,,,,,,,,
Steamer Razzball,2013,525768.0,4.0,2.0,65.0,0.0,0.0,62.0,50.0,24.0,6.0,32.0,72.0,2.0,26.0,,,,,,,,,
Steamer Razzball,2013,,4.0,2.0,65.0,0.0,10.0,62.0,50.0,20.0,5.0,24.0,70.0,2.0,22.0,,,,,,,,,
Steamer Razzball,2013,502202.0,3.0,2.0,41.0,0.0,0.0,46.0,36.0,16.0,4.0,23.0,53.0,2.0,18.0,,,,,,,,,
Steamer Razzball,2013,435400.0,4.0,2.0,54.0,0.0,25.0,58.0,48.0,18.0,5.0,18.0,64.0,2.0,20.0,,,,,,,,,
Steamer Razzball,2013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Steamer Razzball,2013,541652.0,2.0,2.0,41.0,0.0,0.0,38.0,30.0,16.0,4.0,23.0,44.0,2.0,17.0,,,,,,,,,
Steamer Razzball,2013,435045.0,4.0,2.0,65.0,0.0,10.0,62.0,52.0,23.0,6.0,28.0,70.0,2.0,25.0,,,,,,,,,
Steamer Razzball,2013,469159.0,2.0,1.0,41.0,0.0,0.0,34.0,27.0,13.0,3.0,19.0,39.0,1.0,14.0,,,,,,,,,
Steamer Razzball,2013,488768.0,7.0,3.0,24.0,8.0,0.0,79.0,63.0,28.0,5.0,32.0,87.0,3.0,31.0,,,,,,,,,
Steamer Razzball,2013,461325.0,4.0,2.0,65.0,0.0,0.0,63.0,52.0,21.0,8.0,24.0,70.0,2.0,23.0,,,,,,,,,
Steamer Razzball,2013,447755.0,4.0,3.0,65.0,0.0,0.0,70.0,59.0,29.0,7.0,36.0,79.0,4.0,31.0,,,,,,,,,
Steamer Razzball,2013,493157.0,3.0,1.0,41.0,0.0,0.0,39.0,34.0,12.0,5.0,9.0,41.0,1.0,13.0,,,,,,,,,
Steamer Razzball,2013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Steamer Razzball,2013,543668.0,2.0,2.0,41.0,0.0,0.0,35.0,29.0,15.0,3.0,20.0,40.0,1.0,16.0,,,,,,,,,
Steamer Razzball,2013,474521.0,1.0,0.0,10.0,0.0,0.0,9.0,8.0,3.0,1.0,4.0,10.0,0.0,4.0,,,,,,,,,
Steamer Razzball,2013,489265.0,4.0,2.0,65.0,0.0,30.0,52.0,44.0,16.0,5.0,13.0,54.0,2.0,18.0,,,,,,,,,
Steamer Razzball,2013,477132.0,16.0,7.0,31.0,31.0,0.0,213.0,179.0,75.0,19.0,65.0,224.0,5.0,82.0,,,,,,,,,
Steamer Razzball,2013,457429.0,3.0,2.0,65.0,0.0,0.0,45.0,38.0,17.0,4.0,19.0,49.0,2.0,19.0,,,,,,,,,
Steamer Razzball,2013,458924.0,3.0,2.0,58.0,0.0,0.0,51.0,42.0,17.0,2.0,23.0,55.0,3.0,19.0,,,,,,,,,
Steamer Razzball,2013,150274.0,4.0,2.0,65.0,0.0,30.0,63.0,54.0,21.0,7.0,19.0,66.0,2.0,23.0,,,,,,,,,
Steamer Razzball,2013,506433.0,14.0,6.0,28.0,28.0,0.0,185.0,156.0,69.0,16.0,65.0,195.0,8.0,76.0,,,,,,,,,
Steamer Razzball,2013,,2.0,1.0,41.0,0.0,0.0,38.0,32.0,14.0,3.0,18.0,41.0,2.0,16.0,,,,,,,,,
